player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
677594, Julio Rodriguez,2022,560,367,0.284,0.254,0.03,0.509,0.46,0.049,0.337,0.029,0.366,0.343,1.217369023,-0.681239493
677649, Ezequiel Duran,2022,220,154,0.236,0.216,0.02,0.365,0.317,0.048,0.256,0.026,0.282,0.347,-1.49649535,2.142714917
677950, Alek Thomas,2022,411,312,0.231,0.238,-0.007,0.344,0.335,0.009,0.277,-0.005,0.272,0.301,-1.819574442,1.199758583
677951, Bobby Witt Jr.,2022,632,461,0.254,0.252,0.002,0.428,0.427,0.001,0.313,-0.002,0.311,0.345,-0.559565983,1.150740532
679529, Spencer Torkelson,2022,404,263,0.203,0.226,-0.023,0.319,0.378,-0.059,0.305,-0.033,0.272,0.33,-1.819574442,1.997911352
680757, Steven Kwan,2022,638,509,0.298,0.268,0.03,0.4,0.341,0.059,0.312,0.029,0.341,0.317,0.409671293,-0.589127004
680911, Owen Miller,2022,472,340,0.243,0.246,-0.003,0.351,0.341,0.01,0.291,-0.004,0.287,0.294,-1.334955804,0.52248238
680977, Brendan Donovan,2022,468,324,0.281,0.266,0.015,0.379,0.365,0.014,0.339,0.01,0.349,0.345,0.668134567,-0.076960018
681082, Bryson Stott,2022,466,340,0.234,0.237,-0.003,0.358,0.34,0.018,0.284,0.005,0.289,0.339,-1.270339986,1.696379479
682928, CJ Abrams,2022,302,238,0.246,0.241,0.005,0.324,0.316,0.008,0.266,0.001,0.267,0.31,-1.981113988,1.609000712
682985, Riley Greene,2022,418,259,0.253,0.246,0.007,0.362,0.388,-0.026,0.316,-0.013,0.303,0.358,-0.818029257,1.766996426
683734, Andrew Vaughn,2021.5,512,370,0.253,0.249,0.004,0.4125,0.4245,-0.012,0.3255,-0.009,0.3165,0.325,-0.381872482,0.422596846
686469, Vinnie Pasquantino,2022,298,226,0.295,0.289,0.006,0.45,0.475,-0.025,0.374,-0.009,0.365,0.327,1.185061114,-1.089291732
